Sub #,speechTask,fileName,tongueError,lipError,directionError,decoupled,TF,TB,UL,LL,Jaw
Sub12,Caterpillar (Conversational)_2,S12_1_010_sync,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sub12,Lee Tool,S12_1_011_sync,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sub12,Caterpillar (Slow),S12_1_008_sync*,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Sub13,Caterpillar (Clear),S13_1_011_sync,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Sub20,Caterpillar (Slow),S20_011_sync,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Sub23,Caterpillar (Conversational)_2,Sub23_1_007_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,Caterpillar (Fast),Sub23_1_014_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,Put a Deed Here (Conversational)_2,Sub23_1_011_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,Sentence Repetition,Sub23_1_005_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,iCi Syllabes,Sub23_1_008_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,aCa Syllables,Sub23_1_010_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,uCu Syllables,Sub23_1_009_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,Lee Tool,Sub23_1_006_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub23,Lee Tool (Fast),Sub23_1_013_sync,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Sub01,Caterpillar (Conversational),s01_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub01,Caterpillar (Conversational)_2,s01_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub01,Put a Deed Here (Conversational),s01_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub01,Sentence Repetition,s01_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub01,Sentence Repetition (More Clear),s01_1_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub02,Caterpillar (Conversational),s02_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub02,Caterpillar (Conversational)_2,s02_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub02,Put a Deed Here (Conversational),s02_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub02,Sentence Repetition,s02_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub03,Caterpillar (Conversational),s03_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub03,Caterpillar (Conversational)_2,s03_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub03,Put a Deed Here (Conversational),S03_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub03,Sentence Repetition,s03_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub04,Caterpillar (Conversational),s04_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub04,Caterpillar (Conversational)_2,s04_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub04,Put a Deed Here (Conversational),s04_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub04,Sentence Repetition,s04_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Caterpillar (Conversational),s05_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Caterpillar (Conversational)_2,s05_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Put a Deed Here (Conversational),s05_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Put a Deed Here (Conversational)_2,s05_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Put a Deed Here (Conversational)_3,s05_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub05,Sentence Repetition,s05_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub06,Caterpillar (Conversational),s06_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub06,Caterpillar (Conversational)_2,s06_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub06,Put a Deed Here (Conversational),s06_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub06,Sentence Repetition,s06_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub07,Caterpillar (Conversational),s07_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub07,Caterpillar (Conversational)_2,s07_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub07,Put a Deed Here (Conversational),s07_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub07,Sentence Repetition,s07_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,Caterpillar (Conversational),caterpillar_habitual,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,Caterpillar (Conversational)_2,caterpillar_habitual_2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,Caterpillar (Fast),caterpillar_fast,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,Caterpillar (Slow),caterpillar_slow,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,Sentence Repetition,sentence_repetition,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,iCi Syllabes,VCV_syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,aCa Syllables,VCV_syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub08,uCu Syllables,VCV_syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Caterpillar (Conversational),Caterpillar_habitual,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Caterpillar (Fast),Caterpillar_fast,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Caterpillar (Slow),Caterpillar_slow_1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Caterpillar (Slow)_2,Caterpillar_slow_2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Put a Deed Here (Conversational),Coarticulation_1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Put a Deed Here (Conversational)_2,Coarticulation_2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Sentence Repetition,Sentence Repetition,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,Sentence Repetition (Less Clear),Sentence Repetition_less clear,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,iCi Syllabes,VCV syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,aCa Syllables,VCV syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub09,uCu Syllables,VCV syllables,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub10,Caterpillar (Conversational),S10_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub10,Caterpillar (Conversational)_2,S10_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub10,Sentence Repetition,S10_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub10,Lee Tool,S10_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub10,Lee Tool (Fast),S10_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub11,Caterpillar (Conversational),Sub11_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub11,Caterpillar (Conversational)_2,Sub11_1_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub11,Put a Deed Here (Conversational),Sub11_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub11,Sentence Repetition,Sub11_1_007,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub11,Lee Tool,Sub11_1_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,Caterpillar (Conversational),S12_1_001_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,Put a Deed Here (Conversational),S12_1_004_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,Sentence Repetition,S12_1_002_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,iCi Syllabes,S12_1_003_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,Lee Tool (Slow),S12_1_006_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub12,Lee Tool (Fast),S12_1_007_sync*,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Caterpillar (Conversational),S13_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Caterpillar (Fast),S13_1_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Caterpillar (Slow),S13_1_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Caterpillar (Clear)_2,S13_1_015_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Put a Deed Here (Conversational),S13_1_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Sentence Repetition,S13_1_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,iCi Syllabes,S13_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,aCa Syllables,S13_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,uCu Syllables,S13_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Lee Tool,S13_1_013_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub13,Lee Tool (Fast),S13_1_014_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Caterpillar (Conversational),S14_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Caterpillar (Conversational)_2,S14_1_012_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Caterpillar (Fast),S14_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Caterpillar (Slow),S14_1_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Caterpillar (Clear),S14_1_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Put a Deed Here (Conversational),S14_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Sentence Repetition,S14_1_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Sentence Repetition (Less Clear),S14_1_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,iCi Syllabes,S14_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,aCa Syllables,S14_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,uCu Syllables,S14_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub14,Lee Tool,S14_1_011_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Caterpillar (Conversational),S15_2_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Caterpillar (Fast),S15_2_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Caterpillar (Clear),S15_2_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Put a Deed Here (Conversational),S15_2_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Put a Deed Here (Conversational)_2,S15_2_013_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Sentence Repetition,S15_2_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,iCi Syllabes,S15_2_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,aCa Syllables,S15_2_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,uCu Syllables,S15_2_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Lee Tool,S15_2_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub15,Lee Tool (Fast),S15_2_011_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Caterpillar (Conversational),Sub16_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Caterpillar (Fast),Sub16_1_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Caterpillar (Slow),Sub16_1_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Put a Deed Here (Conversational),Sub16_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Put a Deed Here (Conversational)_2,Sub16_1_012_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Sentence Repetition,Sub16_1_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,iCi Syllabes,Sub16_1_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,aCa Syllables,Sub16_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,uCu Syllables,Sub16_1_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Lee Tool,Sub16_1_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub16,Lee Tool (Fast),Sub16_1_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Caterpillar (Conversational),S17_4_003_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Caterpillar (Fast),S17_4_006_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Caterpillar (Slow),S17_4_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Caterpillar (Clear),S17_4_012_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Put a Deed Here (Conversational),S17_4_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Sentence Repetition,S17_4_011_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,iCi Syllabes,S17_4_008_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,aCa Syllables,S17_4_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,uCu Syllables,S17_4_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub17,Lee Tool,S17_4_004_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Caterpillar (Conversational),Sub18_1_002_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Caterpillar (Fast),Sub18_1_007_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Caterpillar (Slow),Sub18_1_010_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Put a Deed Here (Conversational),Sub18_1_001_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Put a Deed Here (Conversational)_2,Sub18_1_013_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Sentence Repetition,Sub18_1_005_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,Sentence Repetition_2,Sub18_1_014_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sub18,iCi Syllabes,Sub18_1_009_sync,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
